"","Jelect","jblogel","jnewspaper","jnatradio","jtalkback","jdiscussp","jrallies","jpersuade","jpcmoney","jpcposter","jlablike","jnatlike","jgrnlike","jnzflike","jactlike","junflike","jmaolike","jmnplike","jmostlike","jmostlikex","jrepublic","jsphealth","jspedu","jspunemp","jspdefence","jspsuper","jspbusind","jsppolice","jspwelfare","jspenviro","jgovpdk","jgovplab","jgovpnat","jgovpgrn","jgovpnzf","jgovpact","jgovunf","jgovpmao","jgovpmnp","jnevervoteno","jnevervotelab","jnevervotenat","jnevervotegrn","jnevervotenzf","jnevervoteact","jnevervoteunf","jnevervotemao","jnevervotemnp","jnevervoteoth","jnevervoteothx","jfirstpx","jsecondp","jage","jlanguage","jlanguagex","jrollsex","jhqual","jwkft","jwkpt","jwkun","jwkret","jwkdis","jwksch","jwkunpo","jwkunpi","jhhincome","jhhadults","jhhchn","jmarital","r_jind","jlablr","jnatlr","jgrnlr","jnzflr","jactlr","junflr","jmaolr","jmnplr","jslflr","jrelservices","jrelnone","jrelang","jrelpres","jrelcath","jrelmeth","jrelbap","jrellat","jrelrat","jrelfun","jrelothc","jrelnonc","jreligionx","jreligiousity","jethnicity_e","jethnicity_m","jethnicity_p","jethnicity_a","jethnicity_o","jethnicityx","jethnicmost","jethnicmostx","jpartyvote","jelecvote","njptyvote","njelecvote","jdiffvoting","X_singlefav"
"1",36,NA,NA,NA,NA,"Yes, frequently","No","No","No","No","2","8","0","0","2","2","0","0","National","","Don't know","More","More","Less","Same as now","More","Same as now","More","Less","More","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"nz first , mana party","","Labour",37,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",3,NA,"Married, in a civil union or living with a partner","”BUSINESS AND REPAIR SERVICES”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"2",34,NA,"Sometimes",NA,NA,"Yes, rarely","No","No","No","No","6","7","6","0","0","5","4","0","National","","Become a republic with an NZ head of state","Same as now","More","Much less","Same as now","Same as now","More","More","Much less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Green",37,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,4,"Married, in a civil union or living with a partner","”EDUCATION”","2","8","3","2","Right","Centre","3","Left","6","2-3 times a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"Christian","Very religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make some difference to what happens","National"
"3",27,"Visited a political blog for election information","Sometimes","Sometimes","Sometimes","Yes, frequently","No","Yes, occasionally","No","No","4","7","7","2","6","3","4","2","National","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Much less","Less","Same as now","Same as now","Less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","National",28,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",5,NA,"Married, in a civil union or living with a partner","”PROFESSIONAL AND RELATED SERVICES”","3","6","3","7","8","7","3","1","7","2-3 times a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Christian",NA,"No denomination","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","Labour","National","Labour","Voting can make a big difference to what happens","National"
"4",34,NA,"Often",NA,NA,"Yes, occasionally","No","No","No","No","8",NA,NA,"8",NA,NA,NA,NA,"NZ First","","Retain Queen as head of state","More","More","Same as now","Same as now","More",NA,"Same as now","Less","Less","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Maori Party",NA,NA,"","","Green",71,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"Don't know",4,1,"Widowed","”RETAIL TRADE”","Don't know",NA,NA,NA,NA,NA,NA,NA,"Don't know","Once a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,"NZ Maori",NA,NA,NA,"",NA,"","NZ First","Labour","NZ First","Labour","Voting can make some difference to what happens","Labour"
"5",15,NA,"Sometimes","Not at all","Often","Yes, occasionally","No","No","No","No","4","9","5","2","2","1","3","0","National","","Retain Queen as head of state","More","More","Less","Same as now","More","More","More","Less","Much more","No, can't recall which parties formed government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Green",43,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,2,"Married, in a civil union or living with a partner","”SOCIAL SERVICES”","3","9","6","Don't know","Don't know","Don't know","Don't know","Don't know","9","Never",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,"Other","SOUTH AFRICAN","NZ European","","National","National","National","National","Voting can make a big difference to what happens","National"
"6",58,NA,"Sometimes",NA,NA,"Yes, occasionally",NA,NA,NA,NA,"6","6","0","9","0","2","2","1","NZ First","","Don't know","More",NA,NA,"Less","More",NA,"Much more","Same as now","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, Green",NA,"Yes, Act",NA,NA,NA,NA,"","",NA,NA,"English","","Female","Primary school completed",NA,NA,NA,"Retired",NA,NA,NA,NA,NA,2,NA,"Married, in a civil union or living with a partner",NA,"Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Centre","Never",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","NZ First",NA,"NZ First",NA,"Voting can make some difference to what happens","NZ First"
"7",30,NA,NA,NA,NA,"Yes, rarely","No","Yes, rarely","Yes, occasionally","No",NA,"10",NA,NA,NA,NA,NA,NA,"National","","Retain Queen as head of state","Much more","Much more","Same as now","Same as now","Same as now","Same as now","Much more","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Labour",59,"Another language","PASHTO AFGHANI",NA,"Non-degree professional trade or technical tertiary qualification",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"Less than $NZ20,000",2,1,"Married, in a civil union or living with a partner","”BUSINESS AND REPAIR SERVICES”","Centre","8",NA,"Right",NA,NA,NA,NA,"6","At least once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Christian","MUSLIM","Somewhat religious",NA,NA,NA,"Chinese, Indian or other Asian",NA,"AFGHANI","Other","AFGHANI",NA,NA,"Nonvote","Nonvote","Voting can make a big difference to what happens","National"
"8",32,NA,"Often",NA,NA,"Yes, rarely",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"","Retain Queen as head of state","Same as now","Same as now","Same as now",NA,"Less","Less",NA,NA,"More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,68,"English","",NA,"University degree completed",NA,NA,NA,"Retired",NA,NA,NA,NA,NA,2,NA,"Married, in a civil union or living with a partner","”EDUCATION”","3","7",NA,NA,"Right",NA,NA,NA,NA,"Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Voting can make some difference to what happens","Act"
"9",40,NA,"Rarely","Not at all","Not at all","Yes, rarely","No","No","No","No","8","2","10","0","0","5","7","3","Green","","Retain Queen as head of state","More","More","Less","Less","Same as now","Same as now","More","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,"Yes, NZ First","Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Green",64,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Married, in a civil union or living with a partner","”EDUCATION”","2","8","3","3","Right","8","3","1","3","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","Green","Labour","Green","Labour","Voting can make some difference to what happens","Green"
"10",10,NA,"Sometimes","Not at all","Not at all","No","No","No","No","No","5","10","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","National","","Retain Queen as head of state","Same as now","Same as now","Same as now","Same as now","Same as now","Don't know","Same as now","Don't know","Don't know",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,"Yes, Labour",NA,"Yes, Green","Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Don't know",70,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”TRANSPORTATION”","Centre","Centre","Centre","Centre","Centre","Centre","Centre","Centre","Centre","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting won't make much difference to what happens","National"
